	time	surge
194	702000	0.3662581869357171
195	705600	0.5010301898307122
196	709200	0.5202689045079072
197	712800	0.47872053865263453
198	716400	0.3602507327068918
199	720000	0.1580522484224751
200	723600	-0.0718701001701165
201	727200	-0.20809796839900413
202	730800	-0.2605520548964663
203	734400	-0.23926475393352328
204	738000	-0.12762675884226587
205	741600	0.0921194109647446
206	745200	0.3738506251369368
207	748800	0.5773683898479893
208	752400	0.6568447195601582
209	756000	0.6597918788710915
210	759600	0.5701215933047974
211	763200	0.40066858662113325
212	766800	0.14740157895604014
213	770400	-0.06571456001150418
214	774000	-0.18037805862790204
215	777600	-0.2260095903688892
216	781200	-0.19154939506596522
217	784800	-0.08481931455827542
218	788400	0.12815460740382192
219	792000	0.3150828302126591
220	795600	0.4173352455599866
